phrase,en,id
人力资源部,human resource department (rénlìzīyuánbù),0
收,to receive; to accept (shōu),1
寄,to post (jì),2
面试,interview (miànshì),3
通知,to inform (tōngzhī),4
祝你好运,good luck to you (zhùnîhâoyùn),5
销售,Sales (xiāoshòu),6
女士,Ms. (nǚshì),7
材料,material (cáiliào),8
建议,to suggest; suggestion （jiàn yì）,9
考虑,to consider (kǎolǜ),10
抱歉,sorry (bàoqiàn),11
打扰,disturb (dǎrǎo),12
招聘,to recruit (zhāopìn),13
应聘,to apply for a job (yìngpìn),14
生产,to produce (shēngchǎn),15
管理,to manage (guǎnlǐ),16
副,assistent/deputy (fù),17
简历,CV (jiânlì),18
查,to check (chá),19
简单,simple (jiǎndān),20
介绍,to introduce (jièshào),21
情况,situation (qíngkuàng),22
专业,Major (zhuānyè),23
市场,market (shì chǎng),24
市场部,marketing department （shìchângbù),25
具体,detailed （jùtî),26
地区,area (dìqū),27
负责,be responsible for (fùzé),28
开发,to develop (kāifā),29
发展,to develop (fāzhǎn),30
申请,to apply (shēn qǐng),31
职位,position (zhíwèi),32
设定,to set up (shèdìng),33
目标,goal (mù biāo),34
实现,to realize (Shíxiàn),35
董事,director (dôngshì),36
董事会,board of directors (dôngshìhuì),37
董事长,chairman of the board (dôngshìzhâng),38
内容,content (nèiróng),39
确定,to decide (quèdìng),40
营销,marketing (yíngxiāo),41
人选,candidate （rénxuân),42
内部,inside/internal (nèibù),43
提升,to promote (tíshēng),44
订单,order (dìngdān),45
意见,opinion （yìjiàn）,46
举手,raise hand (jǔ shǒu),47
全体,all members/ total number (quántî),48
求职,to seek employment （qiúzhí),49
合资,joint venture (hézī),50
外企,foreign enterprise (wàiqî),51
代表,"dài biǎo - representative, to represent",52
要求,to request (yāoqiú),53
经验,experience (jīngyàn),54
限,limit (xiàn),55
性别,gender (xìngbié),56
年龄,age (niánlíng),57
国籍,nationality (guójí),58
教育,education (jiàoyù),59
背景,background (bèi jǐng),60
制造,manufacture (zhìzào),61
学历,educational background (xuélì),62
意向,intention (yìxiàng),63
录用,to employ (lùyòng),64
联系,contact (liánxì),65
培训,training (péixùn),66
加入,to join (jiārù),67
课程,course (kèchéng),68
目的,purpose/aim (mùdì),69
现状,current situation (xiànzhuàng),70
未来,future (wèilái),71
团队合作,teamwork (tuánduì hézuò),72
员工,staff (yuángōng),73
传统,tradition (chuántǒng),74
出现,appear (chū xiàn),75
技术,technology (jìshù),76
口号,slogan (kǒuhào),77
开头,to make a start (kāitóu),78
反应,response (fânyìng),79
包括,include (bāokuò),80
沟通,communicate (gōutōng),81
合作,cooperation (hézuò),82
项目,project (xiàngmù),83
录像,video recording (lùxiàng),84
注意,pay attention to (zhùyì),85
关于,about (guānyú),86
售后,after sale (shòuhòu),87
销量,sales volume (xiāoliàng),88
不断,continuously (búduàn),89
增加,increase (zēngjiā),90
顾客,customer (gùkè),91
提供,provide (tígōng),92
优质,high quality,93
加强,strengthen (jiāqiáng),94
方案,"fāng àn - scheme, plan, programme",95
预算,budget (yùsuàn),96
安排,arrange (ānpái),97
解决,to solve (jiě jué),98
满足,satisfy (mǎnzú),99
个人,individual (gèrén),100
技能,skill (jìnéng),101
成本,cost (chéngběn),102
车间,workshop (chējiān),103
设备,equipment (shèbèi),104
环境,environment (huánjìng),105
结束,to finish (jiéshù),106
认可,To approve (rènkê),107
交际,associate/contact (jiāojì),108
样品,sample (yàngpǐn),109
创造,create (chuàngzào),110
整个,whole/entire (zhênggè),111
装修,decorate (zhuāngxiū),112
财务部,financial department (cáiwùbù),113
研发部,Research and development department (yánfābù),114
习惯,habit (xíguàn),115
拥挤,crowded (yōngjǐ),116
气氛,atmosphere (qìfēn),117
采访,to interview (cǎifǎng),118
日常,"rì cháng - day-to-day, daily",119
一般,generally/ordinary (yībān),120
办公会,Office meeting (bàngōnghuì),121
晚宴,evening banquet (wânyàn),122
活动,activity (huódòng),123
共进晚餐,Have dinner together (gòngjìn wâncān),124
过奖,flatter (guòjiâng),125
投资,to invest (tóuzī),126
业务,business (yèwù),127
行业,industry (hángyè),128
竞争,compete (jìngzhēng),129
握手,to shake hands (wòshǒu),130
表示,"biǎo shì - to express, to show, to state",131
交换,exchange (jiāohuàn),132
头衔,title (tóuxián),133
地位,status (dìwèi),134
利用,make use of (lìyòng),135
宴会,banquet (yànhuì),136
巩固,consolidate (gônggù),137
发现,to discover (fā xiàn),138
印象,impression (yìnxiàng),139
组织,organize (zǔzhī),140
聚会,party (jùhuì),141
接待员,receptionist (jiēdàiyuán),142
约,to make an appointment (yuē),143
带,lead (dài),144
订购,order (goods) (dìnggòu),145
牌,brand (Pái),146
目录,catalogue (mùlù),147
交货,to deliver goods (jiāohuò),148
保修期,guarantee period (bâoxiūqī),149
餐饮部,Food and beverages department (cānyînbù),150
公共关系部,Department of public relations,151
举行,"jǔ xíng - to hold (a meeting, ceremony)",152
答谢,to thank (dáxiè),153
徽标,logo (huībiāo),154
入口处,entrance (rùkôuchù),155
横幅,banner (héngfú),156
仪式,ceremony (yíshì),157
费用,fees (fèiyòng),158
推荐,to recommend (tuījiàn),159
质量,quality (zhì liàng),160
个人,individual (gèrén),161
技能,skill (jìnéng),162
成本,cost (chéngběn),163
车间,workshop (chējiān),164
设备,equipment (shèbèi),165
环境,environment (huánjìng),166
结束,to finish (jiéshù),167
认可,To approve (rènkê),168
交际,associate/contact (jiāojì),169
样品,sample (yàngpǐn),170
创造,create (chuàngzào),171
整个,whole/entire (zhênggè),172
装修,decorate (zhuāngxiū),173
财务部,financial department (cáiwùbù),174
研发部,Research and development department (yánfābù),175
习惯,habit (xíguàn),176
拥挤,crowded (yōngjǐ),177
气氛,atmosphere (qìfēn),178
采访,to interview (cǎifǎng),179
日常,"rì cháng - day-to-day, daily",180
一般,generally/ordinary (yībān),181
办公会,Office meeting (bàngōnghuì),182
晚宴,evening banquet (wânyàn),183
活动,activity (huódòng),184
共进晚餐,Have dinner together (gòngjìn wâncān),185
过奖,flatter (guòjiâng),186
投资,to invest (tóuzī),187
业务,business (yèwù),188
行业,industry (hángyè),189
竞争,compete (jìngzhēng),190
握手,to shake hands (wòshǒu),191
表示,"biǎo shì - to express, to show, to state",192
交换,exchange (jiāohuàn),193
头衔,title (tóuxián),194
地位,status (dìwèi),195
利用,make use of (lìyòng),196
宴会,banquet (yànhuì),197
巩固,consolidate (gônggù),198
发现,to discover (fā xiàn),199
印象,impression (yìnxiàng),200
组织,organize (zǔzhī),201
聚会,party (jùhuì),202
接待员,receptionist (jiēdàiyuán),203
约,to make an appointment (yuē),204
带,lead (dài),205
订购,order (goods) (dìnggòu),206
牌,brand (Pái),207
目录,catalogue (mùlù),208
交货,to deliver goods (jiāohuò),209
保修期,guarantee period (bâoxiūqī),210
餐饮部,Food and beverages department (cānyînbù),211
公共关系部,Department of public relations,212
举行,"jǔ xíng - to hold (a meeting, ceremony)",213
答谢,to thank (dáxiè),214
徽标,logo (huībiāo),215
入口处,entrance (rùkôuchù),216
横幅,banner (héngfú),217
仪式,ceremony (yíshì),218
广告,advertisement (guǎnggào),219
认为,think (rènwéi),220
困难,difficult (kùnnán),221
消费者,consumer (xiāofèizhě),222
人口,population (rénkǒu),223
分布,distribute （fēnbù),224
媒体,media (méitǐ),225
报纸,newspaper (bàozhǐ),226
杂志,magazine (zázhì),227
电台,radio station (diàntái),228
吸引,attract (xīyǐn),229
了解,to understand (liǎojiě),230
信息,information (xìnxī),231
方便,convenient (fāngbiàn),232
总是,always (zǒngshì),233
按照,according to (ànzhào),234
国际,international (guójì),235
推出,to launch (tuīchū),236
促销,to promote sales (cù xiāo),237
食品,food (shípǐn),238
接受,to accept (jiēshòu),239
多功能厅,Multi-function room (duōgōngnéngtīng),240
建议,suggestion (jiànyì),241
提供,to provide (tígōng),242
组织,organize (zǔzhī),243
生产,to produce (shēngchǎn),244
增加,to increase (zēngjiā),245
宣传,to promote (xuānchuán),246
创造,to create (chuàngzào),247
决定,to decide (juédìng),248
购买,purchase (gòumǎi),249
需求,needs (xūqiú),250
报价,quoted price (bàojià),251
订货,order goods (dìnghuò),252
包装,packaging (bāozhuāng),253
交货期,Delivery time (jiāohuòqī),254
一分钱一分货,"The better the price, the better the quality (yīfēnqián yīfēnhuò)",255
品牌,brand (pǐnpái),256
知名度,popularity (zhīmíngdù),257
折扣,discount (zhékòu),258
满意,satisfied (mǎnyì),259
容量,capacity (róngliàng),260
毫升,millilitre (háoshēng),261
有吸引力,attractive (yôu xīyînlì),262
提高...的知名度,Increase the popularity of... (Tígāo de zhīmíngdù),263
高品质,High quality (gāo pînzhì),264
一流,Outstanding (yīliú),265
总价,total price (zông jià),266
大量,a large amount (dà liàng),267
协议,agreement (xiéyì),268
供货商,Supplier (gōnghuòshāng),269
发票,invoice (fāpiào),270
定金,deposit (dìngjīn),271
